광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,상수도 누수관 정비 사업(노후관 교체),2029,3,"5,350",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,상수도 누수관 정비 사업(노후관 교체),2030,3,"5,350",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,상수도 누수관 정비 사업(노후관 교체),2034,12,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,탄소중립포인트제 가입 확대,2025,"4,711",224,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,탄소중립포인트제 가입 확대,2026,"4,925",224,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,탄소중립포인트제 가입 확대,2027,"5,139",224,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,탄소중립포인트제 가입 확대,2028,"5,353",224,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,탄소중립포인트제 가입 확대,2029,"5,567",224,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,탄소중립포인트제 가입 확대,2030,"5,781",224,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,탄소중립포인트제 가입 확대,2034,"25,264",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,우리집 탄소모니터링,2025,"6,420",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,우리집 탄소모니터링,2026,"7,276",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,우리집 탄소모니터링,2027,"8,132",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,우리집 탄소모니터링,2028,"8,988",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,우리집 탄소모니터링,2029,"9,844",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,우리집 탄소모니터링,2030,"10,700",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,우리집 탄소모니터링,2034,"51,360",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"공공청사 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2025,8,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"공공청사 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2026,8,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"공공청사 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2027,8,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"공공청사 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2028,8,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"공공청사 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2029,8,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"공공청사 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2030,8,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"공공청사 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2034,32,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"정조테마공연장 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2025,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"정조테마공연장 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2026,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"정조테마공연장 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2027,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"정조테마공연장 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2028,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"정조테마공연장 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2029,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"정조테마공연장 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2030,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"정조테마공연장 냉난방에너지 절감 실천(1시간 운휴, 공공건물 온도설정)",2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,"전기차 보급(버스, 승용차, 택시)",2025,438,"12,620",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,"전기차 보급(버스, 승용차, 택시)",2026,877,"14,890",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,"전기차 보급(버스, 승용차, 택시)",2027,"1,316","18,995",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,"전기차 보급(버스, 승용차, 택시)",2028,"2,194","77,750",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,"전기차 보급(버스, 승용차, 택시)",2029,"8,778","94,710",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,"전기차 보급(버스, 승용차, 택시)",2030,"16,897","136,325",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,"전기차 보급(버스, 승용차, 택시)",2034,"1,752",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기차 보급(소형 화물차),2025,430,"3,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기차 보급(소형 화물차),2026,538,"3,750",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기차 보급(소형 화물차),2027,646,"4,500",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기차 보급(소형 화물차),2028,754,"5,250",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기차 보급(소형 화물차),2029,861,"6,000",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기차 보급(소형 화물차),2030,969,"6,750",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기차 보급(소형 화물차),2034,"4,956",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기이륜차 구매지원,2025,58,144,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기이륜차 구매지원,2026,65,160,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기이륜차 구매지원,2027,71,176,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기이륜차 구매지원,2028,78,192,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,수송,전기이륜차 구매지원,2029,84,208,,,,,,,,,,,,,,,,,,
