광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경농업 지원 확대,2025,0,5915,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경농업 지원 확대,2026,0,6093,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경농업 지원 확대,2027,0,6275,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경농업 지원 확대,2028,0,6463,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경농업 지원 확대,2029,0,6657,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경농업 지원 확대,2030,0,6657,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경농업 지원 확대,2034,0,26628,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,교통약자 이동편의 증진,2025,0,700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,교통약자 이동편의 증진,2026,0,700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,교통약자 이동편의 증진,2027,0,700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,교통약자 이동편의 증진,2028,0,700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,교통약자 이동편의 증진,2029,0,700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,교통약자 이동편의 증진,2030,0,700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,교통약자 이동편의 증진,2034,0,2800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,노후경유차 조기폐차 지원,2025,744,3510,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,노후경유차 조기폐차 지원,2026,558,1644,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,노후경유차 조기폐차 지원,2027,558,1375,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,노후경유차 조기폐차 지원,2028,372,1110,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,노후경유차 조기폐차 지원,2029,372,1110,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,노후경유차 조기폐차 지원,2030,372,1110,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,노후경유차 조기폐차 지원,2034,558,4440,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,농어촌버스 노선 개편,2025,0,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,농어촌버스 노선 개편,2026,0,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,농어촌버스 노선 개편,2027,0,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,농어촌버스 노선 개편,2028,0,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,농어촌버스 노선 개편,2029,0,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,농어촌버스 노선 개편,2030,0,30,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,농어촌버스 노선 개편,2034,0,120,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,대중교통 친환경 전환(전기버스 보급),2025,0,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,대중교통 친환경 전환(전기버스 보급),2026,307,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,대중교통 친환경 전환(전기버스 보급),2027,176,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,대중교통 친환경 전환(전기버스 보급),2028,395,2800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,대중교통 친환경 전환(전기버스 보급),2029,220,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,대중교통 친환경 전환(전기버스 보급),2030,132,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,대중교통 친환경 전환(전기버스 보급),2034,0,6400,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,어린이 통학차량 LPG전환,2025,0,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,어린이 통학차량 LPG전환,2026,0,10,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,어린이 통학차량 LPG전환,2027,0,10,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,어린이 통학차량 LPG전환,2028,0,10,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,어린이 통학차량 LPG전환,2029,0,10,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,어린이 통학차량 LPG전환,2030,0,10,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,어린이 통학차량 LPG전환,2034,0,40,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,자동차 탄소포인트제 참여 확대,2025,10,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,자동차 탄소포인트제 참여 확대,2026,12,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,자동차 탄소포인트제 참여 확대,2027,13,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,자동차 탄소포인트제 참여 확대,2028,15,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,자동차 탄소포인트제 참여 확대,2029,16,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,자동차 탄소포인트제 참여 확대,2030,18,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,자동차 탄소포인트제 참여 확대,2034,30,8,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,전기자전거 구입 보조금 지원,2025,0,300,,,,,,,,,,,,,,,,
