광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 융복합 지원사업 시행,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 융복합 지원사업 시행,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 융복합 지원사업 시행,2027,716,3774,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 융복합 지원사업 시행,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 융복합 지원사업 시행,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 융복합 지원사업 시행,2030,1074,1887,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 융복합 지원사업 시행,2034,1789,3774,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 주택 지원 사업,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 주택 지원 사업,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 주택 지원 사업,2027,978,650,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 주택 지원 사업,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 주택 지원 사업,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 주택 지원 사업,2030,1841,750,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,전환,신재생에너지 주택 지원 사업,2034,3221,1200,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,1회용품 제로 청사 만들기,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,1회용품 제로 청사 만들기,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,1회용품 제로 청사 만들기,2027,0,143,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,1회용품 제로 청사 만들기,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,1회용품 제로 청사 만들기,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,1회용품 제로 청사 만들기,2030,0,143,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,1회용품 제로 청사 만들기,2034,0,191,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,RE-ICE 탄소중립 순환팩 캠페인,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,RE-ICE 탄소중립 순환팩 캠페인,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,RE-ICE 탄소중립 순환팩 캠페인,2027,60,30,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,RE-ICE 탄소중립 순환팩 캠페인,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,RE-ICE 탄소중립 순환팩 캠페인,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,RE-ICE 탄소중립 순환팩 캠페인,2030,100,60,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,RE-ICE 탄소중립 순환팩 캠페인,2034,100,200,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,거제시 자원순환센터 조성,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,거제시 자원순환센터 조성,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,거제시 자원순환센터 조성,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,거제시 자원순환센터 조성,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,거제시 자원순환센터 조성,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,거제시 자원순환센터 조성,2030,40,50000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,거제시 자원순환센터 조성,2034,253,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,다회용기 사용 활성화 지원 확대,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,다회용기 사용 활성화 지원 확대,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,다회용기 사용 활성화 지원 확대,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,다회용기 사용 활성화 지원 확대,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,다회용기 사용 활성화 지원 확대,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,다회용기 사용 활성화 지원 확대,2030,0,1000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,다회용기 사용 활성화 지원 확대,2034,0,2000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,우리동네 자원순환 리빙랩 확대,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,우리동네 자원순환 리빙랩 확대,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,우리동네 자원순환 리빙랩 확대,2027,0,30,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,우리동네 자원순환 리빙랩 확대,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,우리동네 자원순환 리빙랩 확대,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,폐기물,우리동네 자원순환 리빙랩 확대,2030,0,60,,,,,,,,,,,,,,,,
