광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,공공건축물 신재생에너지 도입(태양광),2029,130,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,공공건축물 신재생에너지 도입(태양광),2030,130,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,공공건축물 신재생에너지 도입(태양광),2034,130,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(지열),2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(지열),2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(지열),2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(지열),2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(지열),2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(지열),2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(지열),2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양광),2025,909,2500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양광),2026,909,2500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양광),2027,909,2500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양광),2028,909,2500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양광),2029,909,2500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양광),2030,909,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양광),2034,909,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양열),2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양열),2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양열),2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양열),2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양열),2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양열),2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,민간부문 신재생에너지 보급사업 추진(태양열),2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(냉온열의자),2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(냉온열의자),2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(냉온열의자),2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(냉온열의자),2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(냉온열의자),2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(냉온열의자),2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(냉온열의자),2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(쉘터),2025,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(쉘터),2026,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(쉘터),2027,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(쉘터),2028,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(쉘터),2029,0,500,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(쉘터),2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,전환,버스정류장 쉘터 태양광조명 설치(쉘터),2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,RFID 기반 음식물 폐기물 재활용설비 확대 설치,2025,393,33,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,RFID 기반 음식물 폐기물 재활용설비 확대 설치,2026,419,33,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,RFID 기반 음식물 폐기물 재활용설비 확대 설치,2027,446,33,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,RFID 기반 음식물 폐기물 재활용설비 확대 설치,2028,473,33,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,RFID 기반 음식물 폐기물 재활용설비 확대 설치,2029,499,33,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,RFID 기반 음식물 폐기물 재활용설비 확대 설치,2030,526,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,RFID 기반 음식물 폐기물 재활용설비 확대 설치,2034,632,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,가정용 음식물류 폐기물 감량기기 보급 지원,2025,54,60,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,가정용 음식물류 폐기물 감량기기 보급 지원,2026,79,60,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,가정용 음식물류 폐기물 감량기기 보급 지원,2027,103,60,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,가정용 음식물류 폐기물 감량기기 보급 지원,2028,127,60,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,가정용 음식물류 폐기물 감량기기 보급 지원,2029,151,60,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,가정용 음식물류 폐기물 감량기기 보급 지원,2030,175,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,가정용 음식물류 폐기물 감량기기 보급 지원,2034,272,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(생활폐기물),2025,518,7450,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(생활폐기물),2026,518,7450,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(생활폐기물),2027,518,7450,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(생활폐기물),2028,518,7450,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(생활폐기물),2029,518,7450,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(생활폐기물),2030,518,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(생활폐기물),2034,518,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(우유팩),2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(우유팩),2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,폐기물,자원 재활용·재사용 활성화 확대 추진(우유팩),2027,0,0,,,,,,,,,,,,,,,,,
