광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 수소차 도입,2025,7,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 수소차 도입,2026,8,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 수소차 도입,2027,9,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 수소차 도입,2028,9,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 수소차 도입,2029,10,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 수소차 도입,2030,10,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 수소차 도입,2034,60,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 전기차 도입,2025,3,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 전기차 도입,2026,7,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 전기차 도입,2027,11,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 전기차 도입,2028,14,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 전기차 도입,2029,17,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 전기차 도입,2030,20,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 전기차 도입,2034,161,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 하이브리드차 도입,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 하이브리드차 도입,2026,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 하이브리드차 도입,2027,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 하이브리드차 도입,2028,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 하이브리드차 도입,2029,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 하이브리드차 도입,2030,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,관용차량(승용차) 하이브리드차 도입,2034,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,노후경유차 조기폐차 사업,2025,9989,3172,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,노후경유차 조기폐차 사업,2026,11582,3510,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,노후경유차 조기폐차 사업,2027,13175,3510,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,노후경유차 조기폐차 사업,2028,14768,3510,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,노후경유차 조기폐차 사업,2029,16361,3510,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,노후경유차 조기폐차 사업,2030,17954,3510,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,노후경유차 조기폐차 사업,2034,87745,14040,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소 버스 보급,2025,36,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소 버스 보급,2026,73,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소 버스 보급,2027,109,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소 버스 보급,2028,146,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소 버스 보급,2029,182,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소 버스 보급,2030,400,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소 버스 보급,2034,1601,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(승용) 보급 확대,2025,1078,8340,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(승용) 보급 확대,2026,1335,8340,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(승용) 보급 확대,2027,1591,8340,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(승용) 보급 확대,2028,1848,8340,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(승용) 보급 확대,2029,2104,8340,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(승용) 보급 확대,2030,3120,33000,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(승용) 보급 확대,2034,12479,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(화물) 보급 확대,2025,64,105,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(화물) 보급 확대,2026,96,105,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(화물) 보급 확대,2027,128,105,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(화물) 보급 확대,2028,160,105,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(화물) 보급 확대,2029,192,105,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(화물) 보급 확대,2030,321,420,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소자동차(화물) 보급 확대,2034,1282,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소전기 압축진개 청소차 도입,2025,3,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소전기 압축진개 청소차 도입,2026,3,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소전기 압축진개 청소차 도입,2027,6,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소전기 압축진개 청소차 도입,2028,6,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소전기 압축진개 청소차 도입,2029,9,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소전기 압축진개 청소차 도입,2030,9,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,수소전기 압축진개 청소차 도입,2034,52,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,승용차 요일제 운영,2025,558,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,승용차 요일제 운영,2026,558,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,승용차 요일제 운영,2027,558,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,승용차 요일제 운영,2028,558,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,승용차 요일제 운영,2029,558,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,승용차 요일제 운영,2030,558,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,승용차 요일제 운영,2034,2232,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자동차 배출가스 무료점검 및 공회전 제한 단속,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자동차 배출가스 무료점검 및 공회전 제한 단속,2026,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자동차 배출가스 무료점검 및 공회전 제한 단속,2027,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자동차 배출가스 무료점검 및 공회전 제한 단속,2028,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자동차 배출가스 무료점검 및 공회전 제한 단속,2029,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자동차 배출가스 무료점검 및 공회전 제한 단속,2030,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자동차 배출가스 무료점검 및 공회전 제한 단속,2034,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 교육장 운영,2025,0,35,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 교육장 운영,2026,0,35,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 교육장 운영,2027,0,35,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 교육장 운영,2028,0,35,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 교육장 운영,2029,0,35,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 교육장 운영,2030,0,35,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 교육장 운영,2034,0,205,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 도로 정비,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 도로 정비,2026,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 도로 정비,2027,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 도로 정비,2028,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 도로 정비,2029,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 도로 정비,2030,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,자전거 도로 정비,2034,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 버스 보급,2025,263,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 버스 보급,2026,527,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 버스 보급,2027,790,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 버스 보급,2028,1317,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 버스 보급,2029,3950,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 버스 보급,2030,10534,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 버스 보급,2034,42134,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 이륜차(오토바이) 보급,2025,307,272,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 이륜차(오토바이) 보급,2026,417,272,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 이륜차(오토바이) 보급,2027,528,272,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 이륜차(오토바이) 보급,2028,638,272,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 이륜차(오토바이) 보급,2029,749,272,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 이륜차(오토바이) 보급,2030,1191,1088,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기 이륜차(오토바이) 보급,2034,4764,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(승용) 보급 확대,2025,3163,12254,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(승용) 보급 확대,2026,4784,18381,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(승용) 보급 확대,2027,6945,24508,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(승용) 보급 확대,2028,9106,24508,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(승용) 보급 확대,2029,11268,24508,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(승용) 보급 확대,2030,15319,45947,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(승용) 보급 확대,2034,101794,183788,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(화물) 보급 확대,2025,2983,10740,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(화물) 보급 확대,2026,4140,10740,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(화물) 보급 확대,2027,6454,21480,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(화물) 보급 확대,2028,8769,21480,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(화물) 보급 확대,2029,11083,21480,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(화물) 보급 확대,2030,13977,26860,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,전기자동차(화물) 보급 확대,2034,84851,107440,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,탄소중립포인트(자동차) 운영 확대,2025,504,197,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,탄소중립포인트(자동차) 운영 확대,2026,519,203,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,탄소중립포인트(자동차) 운영 확대,2027,534,209,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,탄소중립포인트(자동차) 운영 확대,2028,549,215,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,탄소중립포인트(자동차) 운영 확대,2029,564,220,,,,,,,,,,,,,,,,
울산,남구,울산 남구,수송,탄소중립포인트(자동차) 운영 확대,2030,578,226,,,,,,,,,,,,,,,,
