광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(상가),2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(상가),2026,54,3,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(상가),2027,54,3,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(상가),2028,54,3,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(상가),2029,54,3,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(상가),2030,54,3,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(상가),2034,214,12,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(학교),2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(학교),2026,144,5,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(학교),2027,144,5,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(학교),2028,144,5,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(학교),2029,144,5,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(학교),2030,144,5,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,온실가스 진단·컨설팅(학교),2034,577,18,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,저소득층 LED 보급,2025,0,75,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,저소득층 LED 보급,2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,저소득층 LED 보급,2027,2,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,저소득층 LED 보급,2028,2,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,저소득층 LED 보급,2029,4,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,저소득층 LED 보급,2030,4,15,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,저소득층 LED 보급,2034,7,15,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 보조금 지원,2025,1,2,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 보조금 지원,2026,1,2,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 보조금 지원,2027,1,2,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 보조금 지원,2028,1,2,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 보조금 지원,2029,1,2,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 보조금 지원,2030,1,2,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 보조금 지원,2034,2,8,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자 지원,2025,140,2000,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자 지원,2026,140,2000,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자 지원,2027,140,2000,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자 지원,2028,210,3000,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자 지원,2029,210,3000,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자 지원,2030,210,3000,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자 지원,2034,1048,15000,,,,,,,,,,,,,,,,,,,,
